Date,Time,Part,Standard,Unit,Tolerance,Measured,Status
2024-08-24,10:46:11,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:46:59,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:15,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:28,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:39,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:53:49,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:07:45,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:07:56,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:07,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:18,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:30,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:09:07,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:10:16,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:30,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:42,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:54,Lighter,14,gr,14,2.50,OK
2024-08-24,11:11:08,Lighter,14,gr,13,2.50,OK
2024-08-24,11:17:57,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:09,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:22,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:34,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:55,Lighter,14,gr,14,2.50,OK
2024-08-24,11:19:08,Lighter,14,gr,14,2.50,OK
